ID,V8,V9,V10,Q1,Q2_1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q12_1_Group,Q12_2_Group,Q12_3_Group,Q12_4_Group,Q12_5_Group,Q12_6_Group,Q12_7_Group,Q12_8_Group,Q12_9_Group,Q12_10_Group,Q12_11_Group,Q12_12_Group,Q12_13_Group,Q12_14_Group,Q12_15_Group,Q12_16_Group,Q12_17_Group,Q12_18_Group,Q12_19_Group,Q12_20_Group,Q12_21_Group,Q12_22_Group,Q12_23_Group
1273641,5/16/2011 13:55,5/16/2011 14:36,1,1,100,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1259830,5/16/2011 14:30,5/16/2011 14:36,1,1,100,1,NA,1,NA,1,NA,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0,2,2
724526,5/16/2011 14:25,5/16/2011 14:37,1,1,98,NA,1,1,NA,1,1,NA,1,2,2,1,1,2,2,2,2,2,2,1,1,1,2,1,0,2,1,2,2,2,2,2
714419,5/16/2011 14:24,5/16/2011 14:37,1,1,96,1,1,NA,NA,NA,1,1,NA,1,1,0,0,2,2,NA,2,1,NA,2,NA,0,NA,0,0,NA,NA,1,1,0,1,NA
775277,5/16/2011 14:26,5/16/2011 14:37,1,1,99,1,1,NA,NA,NA,1,NA,NA,2,2,1,0,0,1,2,2,1,0,0,0,0,1,0,2,1,0,0,2,0,2,1
1692215,5/16/2011 14:23,5/16/2011 14:37,1,1,0,1,1,1,1,1,NA,1,NA,2,2,0,1,2,2,2,2,2,2,0,0,1,2,0,2,1,0,0,0,0,2,1
1275501,5/16/2011 14:29,5/16/2011 14:38,1,1,98,NA,1,1,NA,1,NA,NA,NA,1,2,0,1,1,2,2,2,2,1,1,0,0,0,0,1,1,0,0,1,1,2,1
1253803,5/16/2011 14:29,5/16/2011 14:38,1,1,100,NA,1,1,NA,NA,1,1,1,2,2,0,0,2,2,2,2,2,2,1,1,2,2,1,0,2,2,1,2,2,2,1
1154408,5/16/2011 14:27,5/16/2011 14:39,1,1,100,1,NA,NA,NA,NA,1,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,2,2,2,2,1,2,2
156045,5/16/2011 14:27,5/16/2011 14:39,1,1,100,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,1,0,0,1,NA,NA,NA,0
630816,5/16/2011 14:29,5/16/2011 14:40,1,1,100,1,1,1,NA,1,1,1,1,1,2,0,0,2,2,2,1,0,2,1,1,1,2,1,0,1,0,0,2,0,1,1
1214500,5/16/2011 14:28,5/16/2011 14:40,1,1,62,NA,1,1,NA,1,1,1,1,2,2,2,1,2,2,2,2,2,0,2,2,1,2,2,1,2,2,1,2,1,2,2
155408,5/16/2011 14:29,5/16/2011 14:40,1,1,90,1,NA,NA,NA,NA,1,NA,NA,0,1,2,0,1,2,0,1,1,0,1,2,2,2,2,1,2,0,0,1,0,0,2
1253799,5/16/2011 14:28,5/16/2011 14:40,1,1,92,1,1,NA,NA,1,NA,NA,NA,2,2,0,0,2,2,2,2,2,1,2,0,0,2,1,0,0,0,0,0,2,2,2
1244096,5/16/2011 14:29,5/16/2011 14:40,1,1,50,1,1,NA,NA,NA,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2
1266856,5/16/2011 14:19,5/16/2011 14:41,1,1,100,1,1,NA,NA,1,1,NA,NA,2,2,2,2,1,2,1,1,2,2,2,2,0,2,1,0,2,1,1,1,1,2,2
501967,5/16/2011 14:32,5/16/2011 14:42,1,1,100,1,NA,NA,NA,1,1,1,NA,1,2,0,0,2,1,1,1,2,0,0,0,0,2,0,1,0,0,0,1,0,2,1
1249643,5/16/2011 14:26,5/16/2011 14:42,1,1,100,1,1,1,1,NA,NA,NA,NA,0,1,0,1,2,2,2,2,2,0,2,2,1,2,2,1,0,0,1,2,0,1,1
1245667,5/16/2011 14:29,5/16/2011 14:43,1,1,80,1,1,NA,NA,1,NA,NA,NA,0,NA,NA,NA,0,2,NA,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
642377,5/16/2011 14:34,5/16/2011 14:43,1,1,70,1,NA,NA,1,NA,NA,NA,NA,1,0,0,0,1,1,1,2,1,1,0,1,0,1,0,2,1,1,0,0,0,0,1
1241387,5/16/2011 14:29,5/16/2011 14:43,1,1,100,NA,1,1,NA,1,1,1,NA,2,1,0,0,2,2,2,2,2,1,1,0,1,2,0,0,2,0,0,0,0,1,1
361742,5/16/2011 14:30,5/16/2011 14:44,1,1,100,1,1,1,NA,1,NA,NA,NA,2,2,0,1,2,2,2,2,2,2,2,2,0,2,0,0,0,1,1,2,1,2,0
1631095,5/16/2011 14:32,5/16/2011 14:44,1,1,100,1,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
921880,5/16/2011 14:30,5/16/2011 14:45,1,1,91,1,1,1,1,NA,NA,1,1,2,1,0,0,2,2,2,2,2,2,1,1,0,2,0,1,0,0,0,0,0,2,0
1248667,5/16/2011 14:35,5/16/2011 14:46,1,1,100,NA,1,1,NA,1,1,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2
1271555,5/16/2011 14:24,5/16/2011 14:46,1,1,100,NA,1,1,NA,NA,1,NA,NA,1,2,0,2,0,1,1,1,0,0,2,2,2,1,0,0,1,2,1,2,0,1,1
280157,5/16/2011 13:57,5/16/2011 14:48,1,1,89,1,1,1,NA,NA,NA,NA,1,1,0,0,0,2,1,0,1,1,1,1,1,1,2,0,2,0,1,0,1,1,0,1
861784,5/16/2011 14:38,5/16/2011 14:48,1,1,100,1,1,1,NA,1,1,1,1,1,0,2,1,2,2,0,0,0,1,1,0,1,2,2,0,1,1,0,2,1,2,2
993938,5/16/2011 14:38,5/16/2011 14:48,1,1,100,1,1,NA,NA,NA,NA,NA,NA,1,2,2,2,2,1,1,1,1,1,2,0,2,1,2,1,2,2,2,2,0,2,2
627092,5/16/2011 14:36,5/16/2011 14:48,1,1,50,1,NA,NA,NA,1,1,1,1,1,1,0,0,2,0,1,1,2,1,1,0,1,1,0,1,1,2,2,1,0,1,0
1247577,5/16/2011 14:41,5/16/2011 14:49,1,1,100,1,1,NA,NA,1,NA,NA,NA,2,1,2,1,2,2,2,2,1,2,2,1,1,2,0,2,2,1,1,2,1,1,0
342081,5/16/2011 14:40,5/16/2011 14:50,1,1,100,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
535416,5/16/2011 14:38,5/16/2011 14:50,1,1,100,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
435944,5/16/2011 14:40,5/16/2011 14:51,1,1,100,1,1,NA,NA,NA,1,NA,NA,2,2,2,1,2,2,2,2,2,1,2,2,1,2,1,0,1,2,2,2,1,2,2
1280850,5/16/2011 14:41,5/16/2011 14:51,1,1,100,1,1,1,NA,NA,NA,NA,NA,2,2,1,0,1,2,NA,1,2,1,NA,NA,1,2,NA,0,NA,0,0,NA,NA,NA,0
1681516,5/16/2011 14:27,5/16/2011 14:52,1,1,100,1,1,1,NA,1,1,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441984,5/16/2011 14:43,5/16/2011 14:52,1,1,100,NA,1,1,NA,NA,1,NA,NA,1,2,1,0,1,2,2,0,0,2,1,0,0,2,2,1,0,0,1,2,1,2,1
1253497,5/16/2011 14:43,5/16/2011 14:54,1,1,90,NA,1,1,1,1,NA,NA,NA,NA,NA,0,0,2,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,1,0,NA,NA,NA
1089727,5/16/2011 14:46,5/16/2011 14:55,1,1,90,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,2,1,2,2,2,2,1,1,2,0,1,0,0,0,0,0,0,0
1116690,5/16/2011 14:44,5/16/2011 14:56,1,1,100,1,NA,1,NA,1,1,1,1,2,1,2,1,2,2,2,1,2,2,2,2,1,1,2,0,1,1,1,1,1,1,2
1101670,5/16/2011 14:23,5/16/2011 14:57,1,1,90,1,1,1,1,1,1,NA,NA,1,0,0,0,1,2,1,2,1,2,2,1,0,2,0,0,0,0,1,1,1,1,0
1089920,5/16/2011 14:44,5/16/2011 14:57,1,1,100,NA,1,NA,1,NA,1,NA,1,0,2,0,2,0,2,1,1,1,0,1,1,2,2,2,1,1,1,0,1,0,2,1
501018,5/16/2011 14:47,5/16/2011 14:57,1,1,92,1,1,1,1,NA,NA,NA,NA,2,1,0,0,2,2,1,2,2,2,2,2,1,2,1,2,0,0,0,1,2,1,2
639358,5/16/2011 14:50,5/16/2011 14:59,1,1,100,NA,1,1,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2
198939,5/16/2011 14:51,5/16/2011 14:59,1,1,100,1,1,1,1,NA,1,NA,NA,1,1,1,0,1,2,1,1,1,1,2,2,0,1,0,0,0,0,0,0,0,1,0
794800,5/16/2011 14:49,5/16/2011 15:00,1,1,90,1,1,NA,NA,NA,NA,NA,1,0,2,1,0,1,0,1,0,0,0,2,1,2,1,1,0,0,1,1,2,1,2,2
566813,5/16/2011 14:50,5/16/2011 15:00,1,1,91,1,1,1,NA,NA,1,NA,NA,1,2,1,1,1,1,0,1,1,0,1,1,1,1,2,0,1,1,1,2,1,2,1
1234377,5/16/2011 14:52,5/16/2011 15:01,1,1,75,1,NA,NA,NA,1,NA,1,NA,2,1,1,1,2,2,0,2,1,0,2,1,0,1,0,1,0,1,1,0,0,2,0
1253978,5/16/2011 14:53,5/16/2011 15:02,1,1,82,1,1,NA,NA,1,1,1,NA,1,2,2,0,2,2,2,1,2,1,1,1,0,2,0,2,0,0,0,2,1,2,2
1693278,5/16/2011 14:50,5/16/2011 15:03,1,1,100,1,1,1,1,NA,1,NA,1,2,0,0,2,0,2,2,2,0,0,2,0,1,2,1,1,2,1,2,2,2,1,1
1240724,5/16/2011 14:47,5/16/2011 15:03,1,1,100,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,0,1,1,1,1,1,1,1
1243966,5/16/2011 14:44,5/16/2011 15:03,1,1,50,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34983,5/16/2011 14:51,5/16/2011 15:04,1,1,90,1,1,NA,NA,NA,NA,1,1,1,1,0,0,2,2,2,2,2,2,0,0,1,2,1,1,0,0,0,1,0,1,2
1646543,5/16/2011 14:44,5/16/2011 15:04,1,1,100,1,NA,1,NA,1,1,1,1,1,1,0,0,1,2,2,1,2,2,0,2,0,2,1,2,0,0,1,1,1,1,1
1273156,5/16/2011 14:57,5/16/2011 15:05,1,1,52,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,0,0,0,1,NA,NA,1
1236166,5/16/2011 14:26,5/16/2011 15:05,1,1,100,1,NA,1,NA,1,1,1,NA,1,2,0,0,1,1,0,1,1,2,0,0,0,2,0,2,1,1,0,1,0,2,0
448827,5/16/2011 14:51,5/16/2011 15:05,1,1,100,1,1,NA,1,1,1,NA,NA,2,0,1,0,1,2,1,2,2,2,2,0,2,2,1,1,2,0,0,0,1,1,0
8893,5/16/2011 14:56,5/16/2011 15:06,1,1,91,1,1,NA,NA,NA,NA,NA,NA,0,2,0,1,0,1,0,1,0,0,1,1,1,2,0,2,2,0,2,2,2,2,0
1266493,5/16/2011 14:58,5/16/2011 15:08,1,1,100,1,NA,NA,NA,NA,1,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0
1094331,5/16/2011 15:02,5/16/2011 15:11,1,1,50,1,1,1,NA,NA,NA,NA,NA,0,2,1,1,1,2,0,0,1,1,0,0,2,2,1,2,1,1,1,2,0,2,1
691103,5/16/2011 14:56,5/16/2011 15:11,1,1,95,1,1,NA,NA,NA,NA,1,NA,1,1,1,1,1,1,2,1,1,1,0,0,0,0,1,2,1,1,0,0,0,0,1
587699,5/16/2011 14:54,5/16/2011 15:11,1,1,100,1,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA
1279142,5/16/2011 14:58,5/16/2011 15:13,1,1,100,1,1,1,1,1,NA,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,0,2,2,2,2,1,1,0
1264704,5/16/2011 15:07,5/16/2011 15:14,1,1,100,1,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0
1244119,5/16/2011 14:47,5/16/2011 15:15,1,1,100,1,1,1,NA,1,NA,NA,NA,1,0,0,0,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,0,1,0
593335,5/16/2011 15:05,5/16/2011 15:15,1,1,100,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1207727,5/16/2011 14:52,5/16/2011 15:15,1,1,97,1,1,1,NA,1,1,1,1,2,2,1,0,2,2,0,2,2,2,1,1,2,2,1,2,1,1,1,1,0,1,2
831356,5/16/2011 15:04,5/16/2011 15:15,1,1,100,1,1,1,NA,1,NA,NA,NA,2,2,1,0,2,2,2,2,2,2,1,2,1,2,0,1,0,2,1,0,1,1,2
1280978,5/16/2011 15:01,5/16/2011 15:16,1,1,92,NA,1,1,NA,NA,1,NA,NA,2,1,0,0,2,1,2,2,2,2,1,1,0,2,0,1,0,0,0,0,1,1,0
671928,5/16/2011 15:06,5/16/2011 15:17,1,1,100,1,1,1,NA,1,NA,1,NA,NA,NA,0,0,1,1,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA
1668509,5/16/2011 15:06,5/16/2011 15:17,1,1,100,1,1,1,NA,1,1,1,1,2,1,1,0,0,1,1,2,1,1,1,0,0,2,1,1,0,0,0,1,1,1,0
1285002,5/16/2011 15:06,5/16/2011 15:17,1,1,85,1,NA,NA,NA,NA,1,NA,1,2,2,1,0,0,0,2,2,1,1,1,1,1,2,0,2,2,1,2,2,0,2,0
1233484,5/16/2011 15:06,5/16/2011 15:18,1,1,100,1,NA,NA,NA,NA,1,NA,NA,2,2,0,1,0,2,2,2,2,1,2,1,1,2,0,2,2,0,0,2,2,2,0
1252814,5/16/2011 15:05,5/16/2011 15:18,1,1,100,1,NA,NA,1,1,NA,1,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA
826463,5/16/2011 15:08,5/16/2011 15:18,1,1,5,1,NA,1,NA,1,1,NA,NA,1,0,0,0,1,1,1,2,1,1,1,1,0,2,0,1,0,0,1,1,1,0,2
1280438,5/16/2011 15:04,5/16/2011 15:19,1,1,100,1,1,1,NA,1,NA,1,1,2,1,1,0,2,2,1,2,2,2,1,2,1,2,1,1,1,1,0,1,1,1,2
1263334,5/16/2011 15:08,5/16/2011 15:19,1,1,100,1,1,1,1,1,1,NA,NA,2,2,0,0,2,2,0,2,2,NA,1,NA,0,NA,0,NA,NA,1,0,NA,1,NA,0
782477,5/16/2011 15:01,5/16/2011 15:19,1,1,97,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,2,2,0,1,0,1,1,0,1,2,0,0,1,1,1,0
1214390,5/16/2011 15:07,5/16/2011 15:21,1,1,100,1,NA,NA,NA,NA,NA,1,NA,2,2,0,0,2,2,2,2,2,2,2,2,2,2,1,0,1,1,1,2,2,1,2
1278098,5/16/2011 15:11,5/16/2011 15:22,1,1,91,1,NA,NA,NA,NA,1,1,1,1,1,2,1,2,2,0,2,2,2,1,1,0,2,2,0,1,1,0,0,0,2,0
816779,5/16/2011 15:15,5/16/2011 15:23,1,1,92,1,1,1,NA,NA,1,1,NA,0,2,0,1,NA,1,NA,2,0,NA,1,0,1,NA,1,1,2,1,NA,NA,0,2,NA
232385,5/16/2011 15:05,5/16/2011 15:24,1,1,100,1,1,NA,1,NA,1,NA,NA,0,1,0,0,2,2,1,2,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0
1236294,5/16/2011 15:09,5/16/2011 15:25,1,1,50,1,NA,NA,1,NA,1,1,NA,2,1,0,0,2,2,0,0,2,1,1,0,2,2,0,1,0,0,0,1,1,1,1
1300057,5/16/2011 15:13,5/16/2011 15:28,1,1,50,NA,1,NA,NA,1,1,NA,1,0,1,1,1,0,2,0,1,0,0,0,0,1,0,1,1,2,2,1,1,0,1,1
1096635,5/16/2011 15:20,5/16/2011 15:28,1,1,100,1,1,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,1,2,2,2,2,2,2
720783,5/16/2011 15:18,5/16/2011 15:29,1,1,86,NA,1,1,NA,1,NA,NA,NA,NA,1,1,0,NA,1,1,2,NA,1,2,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA
609905,5/16/2011 14:29,5/16/2011 15:29,1,1,80,1,1,1,1,1,1,1,1,1,1,0,0,1,2,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
1236208,5/16/2011 15:21,5/16/2011 15:29,1,1,76,NA,NA,1,NA,1,1,1,1,2,2,1,0,1,2,1,1,2,2,1,1,1,1,0,2,0,1,0,0,0,0,1
1371559,5/16/2011 15:17,5/16/2011 15:30,1,1,90,1,1,NA,NA,NA,NA,1,NA,1,1,1,0,1,2,0,2,1,0,0,0,1,2,0,1,0,1,0,0,1,1,1
1272850,5/16/2011 15:21,5/16/2011 15:34,1,1,100,NA,NA,1,1,NA,1,1,NA,2,0,0,1,1,2,2,2,2,0,1,0,0,2,0,2,2,2,1,2,1,2,1
646819,5/16/2011 15:24,5/16/2011 15:34,1,1,100,1,1,1,1,NA,1,NA,1,2,2,0,0,2,2,2,2,0,2,1,0,0,2,0,1,0,0,1,1,2,2,0
820578,5/16/2011 15:19,5/16/2011 15:34,1,1,100,NA,1,1,NA,1,1,1,1,0,2,0,0,1,2,1,1,2,1,2,1,1,1,1,0,1,1,1,2,1,2,1
883015,5/16/2011 15:26,5/16/2011 15:35,1,1,95,NA,1,1,1,1,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,1,0,NA,0,0,1,0,1,2,0,NA,0
1690396,5/16/2011 15:25,5/16/2011 15:36,1,1,75,1,1,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0
1238699,5/16/2011 15:21,5/16/2011 15:36,1,1,100,1,1,1,NA,NA,NA,NA,NA,1,2,0,0,2,2,2,2,1,2,0,0,1,2,0,1,1,0,0,1,0,2,1
130309,5/16/2011 15:19,5/16/2011 15:37,1,1,100,NA,1,1,NA,1,1,NA,NA,2,2,1,1,2,2,2,2,2,1,2,1,2,2,2,0,2,2,1,2,2,2,2
657944,5/16/2011 15:28,5/16/2011 15:38,1,1,100,1,1,NA,NA,1,1,NA,NA,0,0,1,0,2,2,1,1,0,2,2,2,1,2,0,2,1,1,1,0,0,0,0
1252803,5/16/2011 15:31,5/16/2011 15:38,1,1,50,1,NA,1,1,NA,NA,NA,NA,1,0,0,0,1,2,1,2,2,2,2,2,2,2,1,2,2,1,0,1,1,1,2
985887,5/16/2011 15:28,5/16/2011 15:40,1,1,71,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,0,0,1,NA,NA,NA,NA
541733,5/16/2011 15:30,5/16/2011 15:40,1,1,85,1,NA,NA,NA,1,1,1,1,1,0,0,0,2,0,1,2,1,1,0,1,0,2,0,1,0,0,0,1,2,2,0
1259581,5/16/2011 15:19,5/16/2011 15:41,1,1,100,NA,1,1,NA,NA,NA,NA,NA,2,2,1,0,2,2,1,2,1,2,1,1,1,2,1,2,0,0,0,2,2,2,1
1053034,5/16/2011 15:20,5/16/2011 15:42,1,1,100,1,1,NA,NA,NA,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,0,2,1,2,2,1,2,2
579691,5/16/2011 15:29,5/16/2011 15:42,1,1,90,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,0,0,NA,NA,2,0
115556,5/16/2011 15:24,5/16/2011 15:42,1,1,100,1,1,1,1,NA,NA,NA,NA,2,2,0,1,2,2,2,2,2,2,1,0,0,2,1,2,2,0,1,1,2,1,0
913373,5/16/2011 15:32,5/16/2011 15:43,1,1,100,1,1,NA,NA,1,NA,1,1,0,1,1,0,0,0,2,0,2,0,2,2,1,0,1,0,0,0,1,1,1,1,1
544463,5/16/2011 15:26,5/16/2011 15:44,1,1,100,1,NA,NA,NA,NA,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,2,2,2,1,2,2
100097,5/16/2011 15:31,5/16/2011 15:46,1,1,95,1,1,NA,NA,1,NA,NA,NA,1,0,1,2,1,0,2,1,1,0,2,2,0,1,1,0,0,0,0,0,1,0,0
995201,5/16/2011 15:37,5/16/2011 15:46,1,1,100,1,NA,NA,1,NA,NA,1,NA,1,1,0,0,2,1,1,1,0,1,0,1,1,2,1,1,1,0,0,2,0,2,0
1256263,5/16/2011 15:34,5/16/2011 15:47,1,1,100,1,1,NA,NA,NA,1,NA,NA,0,2,0,1,0,2,1,1,2,1,1,1,2,2,2,1,1,0,1,2,0,2,2
367928,5/16/2011 15:33,5/16/2011 15:49,1,1,100,1,1,NA,NA,NA,1,NA,NA,0,1,1,0,2,2,1,2,2,2,0,0,0,2,0,1,1,0,0,2,0,1,0
1274272,5/16/2011 15:36,5/16/2011 15:50,1,1,100,1,1,1,1,1,1,1,1,2,2,2,0,2,2,2,2,2,1,2,2,1,2,1,1,0,1,1,2,1,2,1
1087852,5/16/2011 15:41,5/16/2011 15:50,1,1,99,1,1,NA,NA,NA,1,NA,1,0,2,0,0,2,2,2,2,1,2,2,2,2,2,0,0,0,0,0,1,1,2,1
602529,5/16/2011 15:39,5/16/2011 15:51,1,1,80,1,1,1,1,NA,1,1,1,2,0,0,0,2,2,2,2,1,2,1,1,2,2,0,2,1,1,0,0,2,1,0
1237323,5/16/2011 15:43,5/16/2011 15:53,1,1,85,1,1,NA,NA,NA,1,NA,1,1,2,2,0,2,2,2,2,2,2,2,1,2,2,0,1,2,0,0,2,0,2,2
1276400,5/16/2011 15:39,5/16/2011 15:53,1,1,100,1,1,NA,NA,1,1,1,1,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1233179,5/16/2011 15:39,5/16/2011 15:53,1,1,90,NA,1,NA,NA,NA,1,NA,NA,1,1,0,0,1,1,1,2,2,1,2,0,1,2,0,2,0,0,0,0,0,0,0
614117,5/16/2011 15:40,5/16/2011 15:53,1,1,30,NA,1,1,1,1,NA,1,NA,1,2,0,0,2,2,1,1,1,1,0,0,2,1,1,2,2,0,0,2,1,2,1
75800,5/16/2011 15:38,5/16/2011 15:55,1,1,90,1,1,1,NA,NA,NA,NA,NA,0,2,1,1,1,1,1,1,0,0,1,0,2,2,0,2,2,0,0,1,0,1,0
627208,5/16/2011 15:43,5/16/2011 15:56,1,1,100,NA,1,1,NA,NA,NA,NA,NA,1,2,0,0,2,2,2,2,1,2,0,1,0,2,0,2,1,0,0,2,2,2,1
1675530,5/16/2011 15:51,5/16/2011 15:58,1,1,91,1,1,1,1,1,NA,1,1,0,0,0,0,1,1,2,1,0,1,1,1,0,0,0,1,0,0,0,2,1,1,0
1676788,5/16/2011 15:52,5/16/2011 16:01,1,1,100,1,NA,1,1,NA,1,NA,NA,2,2,0,1,2,2,1,2,2,1,1,2,1,1,0,1,2,1,0,2,1,2,2
1252395,5/16/2011 15:54,5/16/2011 16:02,1,1,95,1,NA,NA,1,NA,1,NA,NA,1,0,0,0,1,1,1,1,2,1,0,1,0,2,0,1,0,0,0,0,1,0,1
1110964,5/16/2011 15:02,5/16/2011 16:04,1,1,100,1,NA,1,NA,NA,NA,NA,NA,0,1,0,1,2,2,0,1,2,1,1,0,1,2,0,1,2,0,1,1,0,0,2
1621834,5/16/2011 15:58,5/16/2011 16:04,1,1,100,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
40469,5/16/2011 15:48,5/16/2011 16:04,1,1,100,NA,1,1,NA,NA,1,NA,NA,1,2,2,0,2,1,2,1,1,1,1,1,0,1,1,1,0,0,1,2,0,2,2
201798,5/16/2011 15:45,5/16/2011 16:05,1,1,100,1,1,1,NA,1,1,NA,1,2,1,2,1,2,2,2,2,2,1,2,1,2,2,1,0,1,1,1,1,0,1,1
1243458,5/16/2011 15:53,5/16/2011 16:07,1,1,100,1,1,1,NA,1,NA,1,NA,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1
1206812,5/16/2011 15:53,5/16/2011 16:08,1,1,100,1,1,1,NA,NA,1,NA,NA,2,1,1,1,2,2,2,2,2,2,2,2,2,2,0,2,2,0,0,0,2,2,1
1271667,5/16/2011 15:59,5/16/2011 16:09,1,1,100,1,1,NA,NA,1,1,1,1,1,0,0,1,0,2,2,2,1,0,1,2,0,0,0,2,2,0,0,0,1,0,0
668870,5/16/2011 15:58,5/16/2011 16:10,1,1,100,1,NA,NA,NA,NA,1,NA,NA,2,1,0,0,1,2,2,2,0,2,2,2,1,2,1,1,0,0,1,1,1,1,0
1003152,5/16/2011 15:59,5/16/2011 16:10,1,1,92,1,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,1,2,1,1,2,2,2,1,1,2,2,2,0,0,0,1,1,1,2
675138,5/16/2011 16:03,5/16/2011 16:11,1,1,81,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,2,0,1,0,1,0,1,2,1,0,1,2,1,0,1,1,2,1
656029,5/16/2011 15:57,5/16/2011 16:13,1,1,91,1,1,1,1,NA,NA,1,NA,2,2,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,NA,0,2,1
1220761,5/16/2011 16:04,5/16/2011 16:14,1,1,100,1,1,NA,NA,1,1,1,NA,1,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,1,1,2,0,2,2
529628,5/16/2011 16:09,5/16/2011 16:15,1,1,100,1,1,1,NA,1,NA,NA,NA,2,2,1,2,2,2,2,2,2,1,2,2,0,2,0,2,0,0,0,2,1,2,2
1097546,5/16/2011 16:06,5/16/2011 16:16,1,1,91,NA,1,1,NA,NA,NA,1,NA,1,1,2,1,2,2,1,2,1,0,0,0,1,2,0,1,1,1,1,0,1,0,1
